CO_FRAC_RA,Paraguay,Bolivia,Brasil,Peru,Colombia
1_6_10,8,1,22,1,9
1_6_2,15,2,10,7,3
1_6_3,36,4,19,13,12
1_6_4,17,2,23,10,7
1_6_5,5,2,2,4,8
1_6_6,9,1,5,3,1
1_6_7,11,3,4,5,7
1_6_8,16,4,25,9,26
1_6_9,25,3,10,8,6
1_7_1,21,4,60,5,10
1_7_10,5,2,5,1,13
1_7_11,6,2,5,3,0
1_7_12,7,4,79,6,18
1_7_13,4,3,133,16,37
1_7_2,20,6,35,16,21
1_7_3,8,2,2,1,4
1_7_4,4,1,16,6,25
1_7_5,11,5,32,4,25
1_7_6,8,2,2,1,16
1_7_7,10,3,48,8,17
1_7_8,6,1,76,6,32
1_7_9,10,1,3,0,7
1_8_1,8,0,3,4,10
1_8_10,11,0,17,5,9
1_8_2,26,0,35,15,11
1_8_3,28,2,13,21,27
1_8_4,20,2,28,7,22
1_8_5,14,5,136,7,14
1_8_6,23,6,34,14,15
1_8_7,9,1,89,7,20
1_8_8,9,6,16,2,7
1_8_9,7,9,1,4,7
1_9_1,11,0,1,11,1
1_9_10,9,1,86,6,11
1_9_11,1,7,17,5,5
1_9_12,5,1,46,4,4
1_9_13,0,6,0,1,0
1_9_14,9,1,3,6,2
1_9_15,6,0,0,16,4
1_9_16,30,25,88,206,32
1_9_17,2,3,2,22,3
1_9_18,11,8,13,10,31
1_9_19,2,1,0,2,0
1_9_2,19,1,0,9,3
1_9_3,9,2,25,10,3
1_9_4,10,3,4,8,6
1_9_5,12,7,4,63,2
1_9_6,8,2,10,8,10
1_9_7,16,3,30,9,13
1_9_8,9,0,5,1,15
1_9_9,16,2,23,8,25
10_1_1,1,0,1,12,1
10_1_2,5,2,0,3,0
10_1_3,32,0,0,6,0
10_1_4,11,10,2,5,1
10_1_5,4,2,0,0,0
10_1_6,4,4,1,6,0
10_1_7,3,0,0,25,0
10_1_8,6,7,4,5,0
10_10_1,6,8,2,6,1
10_10_10,2,9,0,1,0
10_10_11,13,29,0,8,1
10_10_12,11,18,5,21,0
10_10_2,14,15,0,29,1
10_10_3,3,5,3,11,0
10_10_4,4,15,0,2,0
10_10_5,6,33,3,5,0
10_10_6,12,15,0,1,1
10_10_7,9,9,3,6,0
10_10_8,2,12,1,17,0
10_10_9,21,51,1,22,0
10_11_1,3,26,0,11,1
10_11_10,1,23,3,13,1
10_11_11,12,37,3,15,0
10_11_2,25,65,4,33,0
10_11_3,7,25,1,16,6
10_11_4,20,159,1,20,3
10_11_5,6,144,0,17,0
10_11_6,0,75,1,13,0
10_11_7,14,139,1,60,0
10_11_8,8,22,5,7,0
10_11_9,11,61,1,29,0
10_12_1,7,54,0,24,1
10_12_10,5,15,2,3,0
10_12_2,6,8,2,6,3
10_12_3,23,86,1,10,0
10_12_4,6,72,1,14,1
10_12_5,5,115,2,34,0
10_12_6,7,61,1,42,0
10_12_7,4,74,1,43,0
10_12_8,1,25,0,6,0
10_12_9,10,14,0,9,1
10_13_1,10,33,0,1,0
10_13_10,3,19,0,1,0
10_13_11,3,3,2,4,0
10_13_12,9,0,1,13,0
10_13_2,4,17,0,18,0
10_13_3,11,16,2,37,0
10_13_4,10,11,0,1,0
10_13_5,8,21,1,8,0
10_13_6,1,13,0,16,0
10_13_7,6,19,4,17,0
10_13_8,2,0,1,0,0
10_13_9,7,31,0,12,6
10_14_1,10,49,1,2,0
10_14_10,9,14,0,21,0
10_14_11,15,14,0,86,0
10_14_2,13,30,2,22,0
10_14_3,9,12,0,1,0
10_14_4,3,6,0,2,0
10_14_5,10,6,2,14,0
10_14_6,4,25,0,5,0
10_14_7,3,44,2,9,1
10_14_8,10,6,0,15,0
10_14_9,15,35,0,36,0
10_15_1,41,7,1,3,1
10_15_2,7,14,0,17,0
10_15_3,12,15,0,4,0
10_15_4,2,6,1,10,0
10_15_5,8,5,0,5,0
10_15_6,5,20,1,1,0
10_15_7,5,7,0,8,0
10_15_8,45,63,0,27,0
10_15_9,11,3,1,6,1
10_16_1,7,23,1,17,0
10_16_2,13,51,2,15,3
10_16_3,50,45,1,13,0
10_16_4,3,1,0,1,0
10_16_5,11,27,0,1,0
10_16_6,10,28,0,4,1
10_16_7,5,8,10,4,0
10_16_8,7,23,1,4,0
10_16_9,9,37,3,22,0
10_17_1,8,0,0,1,1
10_17_10,10,1,2,15,0
10_17_2,5,22,0,16,0
10_17_3,7,24,0,10,0
10_17_4,0,1,3,1,0
10_17_5,12,16,0,50,0
10_17_6,6,68,0,12,0
10_17_7,3,77,1,9,0
10_17_8,11,28,2,0,0
10_17_9,4,16,1,3,0
10_18_1,8,53,0,6,4
10_18_10,3,24,0,3,1
10_18_11,6,46,0,30,0
10_18_12,20,28,1,2,0
10_18_2,2,47,0,22,0
10_18_3,22,13,2,9,0
10_18_4,22,38,1,92,0
10_18_5,7,17,14,9,3
10_18_6,6,3,0,4,0
10_18_7,19,26,0,8,0
10_18_8,5,6,1,10,0
10_18_9,8,2,1,5,2
10_19_1,9,9,2,7,0
10_19_10,20,90,3,25,0
10_19_11,13,14,1,13,5
10_19_12,6,86,0,4,0
10_19_2,33,122,5,27,1
10_19_3,18,196,0,78,1
10_19_4,4,33,1,26,0
10_19_5,8,42,2,3,0
10_19_6,94,51,2,11,0
10_19_7,7,3,5,8,1
10_19_8,10,19,1,15,0
10_19_9,6,40,1,28,0
10_2_1,7,11,2,5,0
10_2_2,11,0,0,4,0
10_2_3,4,6,1,0,0
10_2_4,2,2,0,0,0
10_2_5,10,8,0,0,1
10_2_6,6,0,0,6,0
10_2_7,8,8,0,3,0
10_2_8,3,4,0,2,0
10_3_1,3,7,1,0,5
10_3_2,9,22,0,1,0
10_3_3,1,10,1,5,0
10_3_4,6,6,1,2,0
10_3_5,1,9,1,2,0
10_3_6,5,6,0,10,0
10_3_7,9,3,2,0,1
10_3_8,22,1,3,14,0
10_4_1,7,3,1,4,0
10_4_2,3,6,4,2,3
10_4_3,4,7,3,1,0
10_4_4,3,4,0,11,1
10_4_5,5,4,0,2,0
10_4_6,1,3,0,0,1
10_4_7,0,0,1,0,1
10_4_8,3,1,0,9,0
10_4_9,6,6,3,1,0
10_5_1,2,13,0,8,1
10_5_10,4,23,1,11,0
10_5_11,2,2,0,5,0
10_5_12,4,6,0,13,1
10_5_13,3,10,0,5,0
10_5_14,14,7,0,1,1
10_5_2,8,0,0,5,0
10_5_3,4,41,0,2,0
10_5_4,8,3,1,3,0
10_5_5,7,1,0,15,0
10_5_6,9,4,0,15,1
10_5_7,5,9,1,2,0
10_5_8,4,6,2,1,1
10_5_9,6,2,2,17,0
10_6_1,1,6,0,11,0
10_6_10,23,48,0,24,0
10_6_11,4,20,1,4,0
10_6_12,5,5,3,0,0
10_6_13,8,16,0,18,1
10_6_2,2,1,3,0,0
10_6_3,5,16,2,1,6
10_6_4,2,9,1,4,0
10_6_5,5,2,6,3,0
10_6_6,7,15,1,2,0
10_6_7,11,3,4,4,0
10_6_8,7,7,8,0,0
10_6_9,4,28,1,9,0
10_7_1,11,27,1,13,2
10_7_10,5,20,2,9,0
10_7_2,8,22,2,8,0
10_7_3,18,12,1,25,0
10_7_4,12,16,0,5,1
10_7_5,6,25,3,10,1
10_7_6,8,16,1,6,1
10_7_7,8,5,1,2,0
10_7_8,9,0,0,11,0
10_7_9,10,69,0,12,2
10_8_1,10,18,3,9,1
10_8_2,12,35,1,20,1
10_8_3,8,7,2,3,0
10_8_4,10,4,4,25,1
10_8_5,8,30,0,5,0
10_8_6,4,0,0,2,1
10_8_7,10,30,0,5,0
10_8_8,5,19,3,8,1
10_8_9,9,14,1,4,0
10_9_1,3,1,4,5,1
10_9_10,8,34,0,11,1
10_9_2,8,14,1,9,0
10_9_3,2,6,6,4,0
10_9_4,7,7,20,22,0
10_9_5,9,46,14,7,0
10_9_6,7,27,0,3,0
10_9_7,7,14,1,22,0
10_9_8,3,8,0,9,2
10_9_9,1,17,2,3,1
11_1_1,8,7,4,6,1
11_1_10,8,1,1,5,0
11_1_11,10,4,6,1,0
11_1_12,8,6,4,0,0
11_1_2,12,1,6,0,0
11_1_3,10,1,1,2,1
11_1_4,1,0,0,0,1
11_1_5,4,0,0,0,0
11_1_6,8,13,0,4,0
11_1_7,3,4,3,6,0
11_1_8,4,3,0,1,0
11_1_9,18,0,0,4,0
11_10_1,4,0,2,4,0
11_10_10,13,0,0,7,1
11_10_2,5,1,0,6,2
11_10_3,3,0,1,5,0
11_10_4,5,0,3,5,0
11_10_5,4,0,3,5,0
11_10_6,13,4,2,12,2
11_10_7,3,3,0,9,0
11_10_8,5,1,1,5,0
11_10_9,10,4,1,2,3
11_11_1,9,2,1,5,0
11_11_2,11,0,1,8,0
11_11_3,24,19,2,7,0
11_11_4,13,6,0,4,0
11_11_5,14,15,0,13,0
11_11_6,21,7,0,16,2
11_11_7,14,15,1,18,1
11_11_8,4,12,1,16,0
11_11_9,11,34,0,18,1
11_12_1,3,1,0,0,0
11_12_10,2,10,1,5,1
11_12_2,2,5,2,0,0
11_12_3,10,0,0,13,1
11_12_4,2,10,1,5,0
11_12_5,4,1,1,0,0
11_12_6,5,14,0,8,1
11_12_7,1,1,1,7,0
11_12_8,3,0,0,12,0
11_12_9,10,3,3,12,1
11_13_1,1,0,1,1,0
11_13_10,6,5,0,0,0
11_13_11,3,12,3,3,0
11_13_2,7,0,1,3,0
11_13_3,3,0,0,4,1
11_13_4,6,0,3,4,1
11_13_5,10,0,3,16,1
