id;nhogar;miembro;comuna;dominio;edad;sexo;parentes_2;p5_2;p6_a;p6_b;estado;categori;t13;t14;t15;t18;t19;t28;t29;t29a;t30;sem_hs;t33;t34;t35;t37_cod_2;t37_coda_2;t38;t39;t40;t41_cod_2;t47;t48;t49;t50a;t50b;t50c;t50d;t50e;t50f;t51_bis;i1;i4;i6_3;i10;i11;codioph;ioph_2;codioph_neto;ioph_neto_2;codios;ios_2;codioa;ioa_2;codlab;inglab_2;codnolab;ingnolab_2;coding;ingtot_2;codi_tot;itfb_2;ipcfb_2;e2;e4;e6;e12;nivel;aesc;m1;m1_2;m2_anio;m3_anio;tipcob2_2;s2;sn4;sn5;sn16;s28;s29;fexp
2098;1;3;4;4;7;1;3;0;95;1;3;0;0;0;0;0;0;0;0;0;0;0.00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;37900;12633;1;3;3;0;2;0;1;1;0;1;5;2;3;5;1;0;0;117
2099;1;1;11;4;43;1;1;2;0;0;1;2;0;0;0;0;0;0;0;0;1;35.00;2;0;1;9302;8;2;2;2;10132;2;0;0;0;0;0;0;0;0;0;0;0;0;2;0;1;60000;1;60000;0;0;2;0;1;60000;1;300;1;60300;1;80300;26767;2;0;0;13;6;15;1;1;0;1;3;3;3;5;1;0;0;275
2099;1;2;11;4;46;2;2;2;0;0;1;2;0;0;0;0;0;0;0;0;1;35.00;2;0;2;9302;8;2;2;2;10132;2;0;0;0;0;0;0;0;0;0;0;0;0;2;0;1;20000;1;20000;0;0;2;0;1;20000;2;0;1;20000;1;80300;26767;2;0;0;13;6;16;1;1;0;1;3;3;3;5;2;1;2;275
2099;1;3;11;4;7;2;3;0;1;2;3;0;0;0;0;0;0;0;0;0;0;0.00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;80300;26767;1;3;3;0;2;1;1;1;0;1;3;2;3;5;1;0;0;275
2100;1;1;6;4;43;2;1;6;0;0;1;3;0;0;0;0;0;0;0;0;1;40.00;2;0;2;6500;5;2;2;4;30333;0;0;2;1;1;1;1;1;2;1;1;0;2;0;0;1;21000;1;21000;0;0;2;0;1;21000;2;0;1;21000;1;28000;14000;2;0;0;13;6;15;3;3;0;2018;2;1;3;5;1;1;1;256
2100;1;2;6;4;18;2;3;6;95;1;3;0;2;2;0;0;0;0;0;0;0;0.00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;1;7000;1;7000;1;28000;14000;1;1;13;0;6;12;3;3;0;2018;2;1;3;5;1;2;0;256
2101;1;1;10;4;43;2;1;3;0;0;1;3;0;0;0;0;0;0;0;0;1;36.00;2;0;2;6400;5;2;2;3;20333;0;0;2;1;1;1;1;1;1;1;1;0;2;0;0;1;54000;1;54000;0;0;2;0;1;54000;2;0;1;54000;1;54000;18000;2;0;0;13;7;17;6;6;0;2011;2;1;3;7;3;1;2;195
2101;1;2;10;4;9;2;3;0;95;1;3;0;0;0;0;0;0;0;0;0;0;0.00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;54000;18000;1;2;3;0;2;3;1;1;0;1;2;1;3;7;1;0;0;195
2101;1;3;10;4;4;1;3;0;95;1;3;0;0;0;0;0;0;0;0;0;0;0.00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;54000;18000;1;2;17;0;1;0;1;1;0;1;2;1;3;7;1;0;0;195
2102;1;1;5;4;43;1;1;1;0;0;1;3;0;0;0;0;0;0;0;0;1;40.00;2;0;2;9402;8;3;2;4;20203;0;0;2;1;1;1;1;1;2;1;1;0;2;0;0;1;50000;1;50000;0;0;2;0;1;50000;2;0;1;50000;1;77000;25667;2;0;0;13;7;17;1;1;0;1;2;1;3;5;2;0;0;322
